2023-04-08 20:53:32,188 INFO    MainThread:6988 [wandb_setup.py:_flush():76] Configure stats pid to 6988
2023-04-08 20:53:32,189 INFO    MainThread:6988 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Administrator\.config\wandb\settings
2023-04-08 20:53:32,189 INFO    MainThread:6988 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Administrator\OneDrive\Documents\Deep learning\Super Resolution\Models\2017-WassersteinGAN-SimpleVersion\wandb\settings
2023-04-08 20:53:32,189 INFO    MainThread:6988 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-08 20:53:32,189 INFO    MainThread:6988 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-08 20:53:32,189 INFO    MainThread:6988 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'C:\\Users\\Administrator\\OneDrive\\Documents\\Deep learning\\Super Resolution\\Models\\2017-WassersteinGAN-SimpleVersion\\main.py'}
2023-04-08 20:53:32,189 INFO    MainThread:6988 [wandb_init.py:_log_setup():507] Logging user logs to C:\Users\Administrator\OneDrive\Documents\Deep learning\Super Resolution\Models\2017-WassersteinGAN-SimpleVersion\wandb\run-20230408_205332-n6l3e4ni\logs\debug.log
2023-04-08 20:53:32,189 INFO    MainThread:6988 [wandb_init.py:_log_setup():508] Logging internal logs to C:\Users\Administrator\OneDrive\Documents\Deep learning\Super Resolution\Models\2017-WassersteinGAN-SimpleVersion\wandb\run-20230408_205332-n6l3e4ni\logs\debug-internal.log
2023-04-08 20:53:32,189 INFO    MainThread:6988 [wandb_init.py:init():547] calling init triggers
2023-04-08 20:53:32,189 INFO    MainThread:6988 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'optimizer_G': <class 'torch.optim.adam.Adam'>, 'betas_G': (0.5, 0.999), 'optimizer_D': <class 'torch.optim.adam.Adam'>, 'betas_D': (0.5, 0.999), 'architecture': 'WGAN', 'dataset': 'another anime face dataset', 'epochs': 10}
2023-04-08 20:53:32,190 INFO    MainThread:6988 [wandb_init.py:init():595] starting backend
2023-04-08 20:53:32,190 INFO    MainThread:6988 [wandb_init.py:init():599] setting up manager
2023-04-08 20:53:32,193 INFO    MainThread:6988 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-08 20:53:32,195 INFO    MainThread:6988 [wandb_init.py:init():605] backend started and connected
2023-04-08 20:53:32,197 INFO    MainThread:6988 [wandb_init.py:init():695] updated telemetry
2023-04-08 20:53:32,199 INFO    MainThread:6988 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-08 20:53:32,986 INFO    MainThread:6988 [wandb_run.py:_on_init():2176] communicating current version
2023-04-08 20:53:33,791 INFO    MainThread:6988 [wandb_run.py:_on_init():2185] got version response 
2023-04-08 20:53:33,792 INFO    MainThread:6988 [wandb_init.py:init():782] starting run threads in backend
2023-04-08 20:53:42,714 INFO    MainThread:6988 [wandb_run.py:_console_start():2157] atexit reg
2023-04-08 20:53:42,714 INFO    MainThread:6988 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-08 20:53:42,714 INFO    MainThread:6988 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-08 20:53:42,714 INFO    MainThread:6988 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-08 20:53:42,715 INFO    MainThread:6988 [wandb_init.py:init():824] run started, returning control to user process
