
































Epoch: 1:  46%|████████████████████▎                       | 92219/200000 [01:15<01:28, 1215.81it/s]

































Epoch: 2:  46%|████████████████████▎                       | 92219/200000 [01:13<01:26, 1247.03it/s]
































Epoch: 3:  46%|████████████████████▎                       | 92219/200000 [01:13<01:26, 1247.11it/s]
































Epoch: 4:  46%|████████████████████▎                       | 92219/200000 [01:14<01:27, 1236.32it/s]
































Epoch: 5:  46%|████████████████████▎                       | 92219/200000 [01:14<01:26, 1242.62it/s]
































Epoch: 6:  46%|████████████████████▎                       | 92219/200000 [01:13<01:26, 1248.68it/s]
































Epoch: 7:  46%|████████████████████▎                       | 92219/200000 [01:13<01:26, 1248.82it/s]
































Epoch: 8:  46%|████████████████████▎                       | 92219/200000 [01:14<01:26, 1241.33it/s]

































Epoch: 9:  46%|████████████████████▎                       | 92219/200000 [01:13<01:26, 1247.20it/s]

































Epoch: 10:  46%|███████████████████▊                       | 92219/200000 [01:14<01:26, 1240.77it/s]

































Epoch: 11:  46%|███████████████████▊                       | 92219/200000 [01:16<01:29, 1201.80it/s]
































Epoch: 12:  46%|███████████████████▊                       | 92219/200000 [01:14<01:27, 1232.34it/s]


































Epoch: 13:  46%|███████████████████▊                       | 92219/200000 [01:16<01:29, 1210.71it/s]
































Epoch: 14:  46%|███████████████████▊                       | 92219/200000 [01:13<01:26, 1249.08it/s]

































Epoch: 15:  46%|███████████████████▊                       | 92219/200000 [01:14<01:26, 1241.50it/s]
