2023-04-08 17:25:45,116 INFO    MainThread:12328 [wandb_setup.py:_flush():76] Configure stats pid to 12328
2023-04-08 17:25:45,117 INFO    MainThread:12328 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Administrator\.config\wandb\settings
2023-04-08 17:25:45,117 INFO    MainThread:12328 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Administrator\OneDrive\Documents\Deep learning\Super Resolution\Models\GAN Basic\wandb\settings
2023-04-08 17:25:45,117 INFO    MainThread:12328 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-08 17:25:45,117 INFO    MainThread:12328 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-08 17:25:45,117 INFO    MainThread:12328 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'C:\\Users\\Administrator\\OneDrive\\Documents\\Deep learning\\Super Resolution\\Models\\GAN Basic\\train.py'}
2023-04-08 17:25:45,117 INFO    MainThread:12328 [wandb_init.py:_log_setup():506] Logging user logs to C:\Users\Administrator\OneDrive\Documents\Deep learning\Super Resolution\Models\GAN Basic\wandb\run-20230408_172545-417ofq2g\logs\debug.log
2023-04-08 17:25:45,118 INFO    MainThread:12328 [wandb_init.py:_log_setup():507] Logging internal logs to C:\Users\Administrator\OneDrive\Documents\Deep learning\Super Resolution\Models\GAN Basic\wandb\run-20230408_172545-417ofq2g\logs\debug-internal.log
2023-04-08 17:25:45,118 INFO    MainThread:12328 [wandb_init.py:init():546] calling init triggers
2023-04-08 17:25:45,118 INFO    MainThread:12328 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'optimizer_G': <class 'torch.optim.adam.Adam'>, 'betas_G': (0.5, 0.999), 'optimizer_D': <class 'torch.optim.adam.Adam'>, 'betas_D': (0.5, 0.999), 'architecture': 'DCGAN', 'dataset': 'another anime face dataset', 'epochs': 10}
2023-04-08 17:25:45,118 INFO    MainThread:12328 [wandb_init.py:init():602] starting backend
2023-04-08 17:25:45,118 INFO    MainThread:12328 [wandb_init.py:init():606] setting up manager
2023-04-08 17:25:45,121 INFO    MainThread:12328 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-08 17:25:45,125 INFO    MainThread:12328 [wandb_init.py:init():613] backend started and connected
2023-04-08 17:25:45,127 INFO    MainThread:12328 [wandb_init.py:init():701] updated telemetry
2023-04-08 17:25:45,132 INFO    MainThread:12328 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-08 17:25:46,334 INFO    MainThread:12328 [wandb_run.py:_on_init():2133] communicating current version
2023-04-08 17:25:47,019 INFO    MainThread:12328 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.14.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-08 17:25:47,019 INFO    MainThread:12328 [wandb_init.py:init():789] starting run threads in backend
2023-04-08 17:25:56,082 INFO    MainThread:12328 [wandb_run.py:_console_start():2114] atexit reg
2023-04-08 17:25:56,082 INFO    MainThread:12328 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-08 17:25:56,082 INFO    MainThread:12328 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-08 17:25:56,082 INFO    MainThread:12328 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-08 17:25:56,083 INFO    MainThread:12328 [wandb_init.py:init():831] run started, returning control to user process
