2023-11-23 13:41:36,804 INFO    MainThread:7120 [wandb_setup.py:_flush():76] Configure stats pid to 7120
2023-11-23 13:41:36,805 INFO    MainThread:7120 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Administrator\.config\wandb\settings
2023-11-23 13:41:36,805 INFO    MainThread:7120 [wandb_setup.py:_flush():76] Loading settings from E:\AI\Deep-learning-exercises\personal implementation\thesis\wandb\settings
2023-11-23 13:41:36,805 INFO    MainThread:7120 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-23 13:41:36,805 INFO    MainThread:7120 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-23 13:41:36,805 INFO    MainThread:7120 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'personal implementation\\thesis\\train.py', 'program': 'E:\\AI\\Deep-learning-exercises\\personal implementation\\thesis\\train.py'}
2023-11-23 13:41:36,806 INFO    MainThread:7120 [wandb_init.py:_log_setup():507] Logging user logs to E:\AI\Deep-learning-exercises\personal implementation\thesis\wandb\run-20231123_134136-yfv5psdv\logs\debug.log
2023-11-23 13:41:36,806 INFO    MainThread:7120 [wandb_init.py:_log_setup():508] Logging internal logs to E:\AI\Deep-learning-exercises\personal implementation\thesis\wandb\run-20231123_134136-yfv5psdv\logs\debug-internal.log
2023-11-23 13:41:36,806 INFO    MainThread:7120 [wandb_init.py:init():547] calling init triggers
2023-11-23 13:41:36,806 INFO    MainThread:7120 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'dataset': {'hr_train_img_folders': ['E:\\datasets\\DIV2K\\DIV2K_train_HR_sub.lmdb', 'E:\\datasets\\Flickr2K\\Flickr2K_HR_sub.lmdb'], 'lr_train_img_folders': ['E:\\datasets\\DIV2K\\DIV2K_train_LR_unknown_X4_sub.lmdb', 'E:\\datasets\\Flickr2K\\Flickr2K_LR_unknown_X4_sub.lmdb'], 'hr_val_img_folder': 'E:\\datasets\\DIV2K\\DIV2K_valid_HR_sub', 'lr_val_img_folder': 'E:\\datasets\\DIV2K\\DIV2K_valid_LR_unknown_X4_sub', 'save_path': 'save'}, 'hyperparameters': {'lr': 1e-05, 'batch_size': 32, 'num_workers': 6, 'epoch': 10, 'lr_decay_schedule': [4, 8], 'loss_name': 'L1', 'add_perceptual_loss': False, 'add_edge_loss': True, 'coefficient_perceptual_loss': 0.0001, 'coefficient_edge_loss': 0.1, 'optimizer_name': 'Adam', 'model_num': 0}, 'model0': {'num_blocks': 8, 'image_size': 64}, 'model1': {'image_size': 128, 'in_channels': 3, 'out_channels_after_conv1': 16, 'out_channels_after_conv2': 64, 'patch_sizes': [4, 8, 12], 'num_blocks': [4, 2, 1], 'upscale_factor': 4}, 'model2': {'image_size': 128}, 'model-1': {'image_size': 256}}
2023-11-23 13:41:36,806 INFO    MainThread:7120 [wandb_init.py:init():595] starting backend
2023-11-23 13:41:36,806 INFO    MainThread:7120 [wandb_init.py:init():599] setting up manager
2023-11-23 13:41:36,808 INFO    MainThread:7120 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-11-23 13:41:36,813 INFO    MainThread:7120 [wandb_init.py:init():605] backend started and connected
2023-11-23 13:41:36,814 INFO    MainThread:7120 [wandb_init.py:init():695] updated telemetry
2023-11-23 13:41:36,870 INFO    MainThread:7120 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-11-23 13:41:38,966 INFO    MainThread:7120 [wandb_run.py:_on_init():2176] communicating current version
2023-11-23 13:41:40,729 INFO    MainThread:7120 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.16.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-11-23 13:41:40,729 INFO    MainThread:7120 [wandb_init.py:init():782] starting run threads in backend
2023-11-23 13:41:49,932 INFO    MainThread:7120 [wandb_run.py:_console_start():2157] atexit reg
2023-11-23 13:41:49,932 INFO    MainThread:7120 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-11-23 13:41:49,933 INFO    MainThread:7120 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-11-23 13:41:49,933 INFO    MainThread:7120 [wandb_run.py:_redirect():2102] Redirects installed.
2023-11-23 13:41:49,933 INFO    MainThread:7120 [wandb_init.py:init():824] run started, returning control to user process
